Date,Open,High,Low,Close,Volume
2005-01-03,12.48,12.6,11.52,11.92,1619200
2005-01-04,11.92,11.95,11.25,11.66,2478900
2005-01-05,11.74,11.74,11.09,11.2,1818900
2005-01-06,11.2,11.37,11.01,11.05,1181900
2005-01-07,11.11,11.55,11.0,11.12,1070100
2005-01-10,11.1,11.74,11.1,11.27,1419200
2005-01-11,11.4,11.44,11.01,11.01,1120300
2005-01-12,11.19,11.3,10.53,10.75,1778000
2005-01-13,10.95,11.05,10.74,10.86,1369400
2005-01-14,11.14,11.44,10.78,11.33,2071800
2005-01-18,11.44,11.47,10.94,11.3,1483800
2005-01-19,11.36,11.36,10.92,11.07,1750200
2005-01-20,11.12,11.231,10.92,11.09,1093400
2005-01-21,11.01,11.24,10.99,11.04,633600
2005-01-24,11.01,11.36,10.84,11.14,3101700
2005-01-25,12.681,13.12,11.29,11.33,9550200
2005-01-26,11.1,11.49,10.77,11.03,2634600
2005-01-27,10.97,11.41,10.91,11.21,987800
2005-01-28,11.22,11.7,11.13,11.44,1337500
2005-01-31,11.34,11.58,11.25,11.5,897000
2005-02-01,11.42,11.65,11.39,11.48,677700
2005-02-02,11.42,11.55,11.2,11.22,680000
2005-02-03,11.35,11.99,11.34,11.9,2659000
2005-02-04,11.94,12.2,11.72,12.02,1024400
2005-02-07,11.93,12.09,11.53,11.53,1079500
2005-02-08,11.51,11.76,11.41,11.5,934400
2005-02-09,11.55,11.62,11.14,11.47,779100
2005-02-10,11.44,11.6,11.25,11.33,902000
2005-02-11,11.33,11.39,11.08,11.15,1177400
2005-02-14,11.14,11.35,11.11,11.16,639000
2005-02-15,11.25,11.5,11.09,11.25,1130000
2005-02-16,11.17,11.24,10.86,10.95,800700
2005-02-17,11.08,11.08,10.44,10.5,1278200
2005-02-18,10.5,10.75,10.43,10.67,1347600
2005-02-22,10.6,10.75,10.15,10.21,927700
2005-02-23,10.27,10.38,10.11,10.19,636800
2005-02-24,10.15,10.47,10.01,10.4,758800
2005-02-25,10.69,11.08,10.65,10.99,4209900
2005-02-28,11.08,11.1,10.5,10.7,944000
2005-03-01,10.7,10.95,10.61,10.79,636000
2005-03-02,10.8,11.05,10.6,10.68,2058800
2005-03-03,10.69,10.89,10.5,10.56,1047400
2005-03-04,10.6,10.81,10.5,10.7,785700
2005-03-07,10.69,10.82,10.5,10.59,605500
