Date,Open,High,Low,Close,Volume
2012-05-18,533.96,543.41,522.18,530.38,26153300
2012-05-21,534.5,561.54,534.05,561.28,22539500
2012-05-22,569.55,573.88,552.58,556.97,24816800
2012-05-23,557.5,572.8,553.23,570.56,20889200
2012-05-24,575.87,576.5,561.23,565.32,17722500
2012-05-25,564.59,565.85,558.472,562.29,11732400
2012-05-29,570.9,574.0,565.31,572.27,13589600
2012-05-30,569.2,579.99,566.56,579.17,18908200
2012-05-31,580.74,581.5,571.46,577.73,17559800
2012-06-01,569.16,572.65,560.52,560.99,18606700
2012-06-04,561.5,567.5,548.5,564.29,19892700
2012-06-05,561.27,566.47,558.33,562.83,13864800
2012-06-06,567.77,573.85,565.5,571.46,14337700
2012-06-07,577.29,577.32,570.5,571.72,13563100
2012-06-08,571.6,580.584,569.0,580.32,12411300
2012-06-11,587.72,588.5,570.63,571.17,21116600
2012-06-12,574.46,576.62,566.7,576.16,15549300
2012-06-13,574.52,578.48,570.38,572.16,10485000
2012-06-14,571.24,573.5,567.26,571.53,12341900
2012-06-15,571.0,574.62,569.55,574.13,11973400
2012-06-18,570.96,587.89,570.37,585.78,15729000
2012-06-19,583.4,590.0,583.1,587.41,12907300
2012-06-20,588.21,589.25,580.8,585.741,12819400
2012-06-21,585.44,588.22,577.44,577.67,11655400
2012-06-22,579.04,582.19,575.42,582.1,10159700
2012-06-25,577.3,579.8,570.37,570.765,10870800
2012-06-26,571.33,574.49,567.33,572.025,9876300
2012-06-27,575.0,576.74,571.92,574.5,7249900
2012-06-28,571.67,574.0,565.61,569.05,10101300
2012-06-29,578.0,584.0,574.25,584.0,15053600
2012-07-02,584.73,593.47,583.6,592.52,14289000
2012-07-03,594.88,600.0,594.0,599.41,8632600
2012-07-05,600.56,614.34,599.65,609.94,17299400
2012-07-06,607.09,608.44,601.58,605.88,14961800
2012-07-09,605.3,613.9,604.11,613.89,13550200
2012-07-10,617.97,619.87,605.31,608.21,18284200
2012-07-11,606.12,607.66,597.22,604.43,16761500
2012-07-12,600.24,603.47,592.68,598.9,15287200
2012-07-13,602.95,607.19,600.0,604.97,11122400
2012-07-16,605.12,611.62,605.02,606.91,10759300
2012-07-17,610.79,611.5,603.15,606.94,10486600
2012-07-18,606.59,608.34,603.56,606.26,9025000
2012-07-19,611.28,615.35,606.0,614.32,15602200
2012-07-20,613.03,614.44,603.7,604.3,14195400
2012-07-23,594.4,605.9,587.71,603.83,17427700
2012-07-24,607.38,609.68,598.51,600.92,20183300
2012-07-25,574.46,580.8,570.0,574.97,31332600
2012-07-26,579.76,580.4,570.36,574.88,14522600
2012-07-27,575.01,585.83,571.59,585.16,14426300
2012-07-30,590.92,599.44,587.82,595.03,13540800
2012-07-31,603.23,611.7,602.72,610.76,16511700
2012-08-01,615.905,616.4,603.0,606.81,13732200
2012-08-02,602.84,610.69,600.25,607.79,11862800
2012-08-03,613.63,617.98,611.56,615.7,12318600
2012-08-06,617.29,624.868,615.26,622.55,10789400
2012-08-07,622.77,625.0,618.04,620.914,10373100
2012-08-08,619.39,623.88,617.1,619.86,8739500
2012-08-09,617.85,621.73,617.8,620.73,7915800
2012-08-10,618.71,621.76,618.7,621.7,6962100
2012-08-13,623.39,630.0,623.25,630.0,9958300
2012-08-14,631.87,638.61,630.21,631.69,12148900
2012-08-15,631.3,634.0,627.75,630.83,9190800
2012-08-16,631.21,636.76,630.5,636.34,9090500
2012-08-17,640.0,648.19,638.81,648.11,15812900
2012-08-20,650.01,665.15,649.9,665.15,21906600
2012-08-21,670.82,674.88,650.33,656.062,29025700
2012-08-22,654.42,669.0,648.11,668.87,20190100
2012-08-23,666.11,669.9,661.15,662.63,15004600
2012-08-24,659.51,669.48,655.55,663.222,15619300
2012-08-27,679.99,680.87,673.54,675.68,15250300
2012-08-28,674.9773,676.1,670.673,674.8,9550600
2012-08-29,675.25,677.67,672.6,673.466,7243100
2012-08-30,670.64,671.554,662.853,663.868,10810700
2012-08-31,667.25,668.6,657.25,665.24,12082900
2012-09-04,665.76,675.14,664.5,674.97,13139000
2012-09-05,675.57,676.35,669.6,670.23,12013400
2012-09-06,673.17,678.29,670.8,676.27,13971300
2012-09-07,678.05,682.48,675.77,680.44,11773800
2012-09-10,680.45,683.29,662.1,662.74,17428500
2012-09-11,665.11,670.1,656.5,660.59,17999400
2012-09-12,666.85,669.9,656.0,669.79,25436900
2012-09-13,677.37,685.5,674.77,682.98,21370000
2012-09-14,689.955,696.98,687.89,691.28,21445500
2012-09-17,699.35,699.8,694.61,699.781,14215400
2012-09-18,699.88,702.33,696.42,701.91,13339400
2012-09-19,700.26,703.99,699.57,702.1,11674100
2012-09-20,699.16,700.06,693.62,698.7,12020300
2012-09-21,702.41,705.07,699.3617,700.095,20413900
2012-09-24,686.86,695.12,683.0,690.79,22848800
2012-09-25,688.26,692.78,673.0,673.54,18528200
2012-09-26,668.74,672.69,661.2,665.18,20589400
2012-09-27,664.29,682.17,660.35,681.32,21217500
2012-09-28,678.75,681.11,666.75,667.105,19111100
2012-10-01,671.5,676.75,656.5,659.39,19414100
2012-10-02,661.81,666.35,650.65,661.31,22428300
2012-10-03,664.86,671.86,662.63,671.45,15152900
2012-10-04,671.25,674.25,665.55,666.8,13240200
2012-10-05,665.2,666.0,651.28,652.59,21214500
2012-10-08,646.88,647.56,636.11,638.17,22785500
2012-10-09,638.65,640.49,623.55,635.85,29949900
2012-10-10,639.74,644.98,637.0,640.91,18227000
2012-10-11,646.5,647.2,628.1,628.1,19502900
2012-10-12,629.56,635.38,625.3,629.714,16429100
2012-10-15,632.35,635.13,623.85,634.76,15446500
2012-10-16,635.34,650.3,631.0,649.7925,19634700
2012-10-17,648.87,652.79,644.0,644.6136,13894200
2012-10-18,639.59,642.06,630.0,632.64,17022300
2012-10-19,631.05,631.77,609.62,609.84,26574500
2012-10-22,612.42,635.38,610.76,634.03,19526100
2012-10-23,631.0,633.9,611.7,613.3554,25255200
2012-10-24,621.44,626.55,610.64,616.83,19947400
2012-10-25,620.0,622.0,605.55,609.538,23440200
2012-10-26,609.43,614.0,591.0,604.0,36372600
2012-10-31,594.88,601.96,587.7,595.32,18214400
2012-11-01,598.22,603.0,594.17,596.5399,12903500
2012-11-02,595.89,596.95,574.75,576.8,21406200
2012-11-05,583.515,587.77,577.6,584.6211,18897700
2012-11-06,590.23,590.74,580.09,582.8495,13389900
2012-11-07,573.835,574.54,555.75,558.0019,28344600
2012-11-08,560.63,562.23,535.29,537.75,37719500
2012-11-09,540.42,554.88,533.72,547.06,33211200
2012-11-12,554.15,554.5,538.65,542.83,18421500
2012-11-13,538.91,550.48,536.36,542.898,19033900
2012-11-14,545.5,547.45,536.18,536.88,17041800
2012-11-15,537.53,539.5,522.62,525.62,28211100
2012-11-16,525.2,530.0,505.7501,527.678,45246200
2012-11-19,540.7097,567.5,539.88,565.73,29404200
2012-11-20,571.91,571.95,554.58,560.9134,22955500
2012-11-21,564.25,567.37,556.6,561.7,13321500
2012-11-23,567.17,572.0,562.6,571.5,9743800
2012-11-26,575.9,590.0,573.71,589.53,22520700
